SKU,Mark,Название товара,Цена,Price Old,Изображение,Наличие русского языка в субтитрах,Наличие русского языка в голосе,Жанр игры,Подробное описание,Платформа,Раздел,SEO title,SEO descr
2689042,Новинка,The Last of Us Part II Remastered,5620,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP9000-PPSA15508_00-THELASTOFUSPART2/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Да,"Action, Adventure","«Предзаказ - Требует немедленной оплаты»<br/><br/>Подробнее о предварительном заказе, в том числе и о его отмене, можно узнать из Условий обслуживания и Лицензионного соглашения Sony Entertainment Network. Автоматическая загрузка осуществляется, если на системе PS5™ включены настройки «Автоматический вход в систему» и «Автоматический вход в сеть».<br/><br/>Оформите предзаказ и с самого начала получите*:<br/><br/>• Увеличение емкости магазина <br/>• Руководство по изготовлению предметов <br/><br/>*Дополнения для доступа к инструкциям, навыкам и модификациям.<br/><br/><br/>В издании<br/>Полная версия «Одни из нас™: Часть II Обновленная версия » для консоли PS5®<br/><br/>Насладитесь игрой, получившей более 300 наград «Игра года» – теперь с целым рядом технических улучшений, которые делают «Одни из нас: Часть II Обновленная версия» лучшей историей Элли и Эбби.<br/>Улучшения на консоли PS5  Издание «», созданное специально для консоли PS5, на порядок расширяет возможности оригинальной игры для PS4:<br/>• Множество графических улучшений оживляют прекрасный и опасный мир.<br/>• Визуальная производительность теперь достигает 4K в режиме «Качество».<br/>• Сокращенное время загрузки позволяет быстрее начать игру.<br/>• Полная поддержка беспроводных контроллеров DualSense™. <br/><br/>«Без возврата» – выживание с элементами «рогалика»<br/>Оцените продуманную боевую систему в новом режиме «Одни из нас™: Часть II»! Выживайте как можно дольше в серии случайных стычек. Играйте за множество уникальных персонажей, в том числе не доступных ранее в играх франшизы «Одни из нас». В разнообразных испытаниях вы увидите знакомых врагов и места из второй части, а кульминацией станут напряженные битвы с боссами.<br/><br/>Новые способы игры<br/>• Режим утраченных эпизодов открывает ранние версии трех новых эпизодов, которых не было в оригинальной игре.<br/>• Насладитесь часами новых комментариев разработчиков и узнайте, как создавалась вторая часть.<br/>• Раскройте свой музыкальный потенциал в режиме свободной игры на гитаре с новыми разблокируемыми инструментами или пройдите игру на скорость* и похвастайтесь своими лучшими результатами.<br/>• Добавлены новые функции доступности: звуковые описания видеороликов** и вибрация для речи.<br/>• В «Одни из нас™: Часть II Обновленная версия» также появились новые разблокируемые облики персонажей и окраски оружия для Элли и Эбби.<br/><br/>*Можно разблокировать в процессе прохождения игры.<br/>**Доступно только для языков с поддержкой аудио.",PS5,Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2610461,"",Marvel’s Spider-Man 2,8600,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP9000-PPSA08338_00-MARVELSPIDERMAN2/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Да,Action,"<p>Питер Паркер и Майлз Моралес столкнутся с самым серьезным испытанием не только своих супергеройских сил, но и воли, спасая город, друг друга и тех, кого они любят, от чудовищного симбиота Венома.<br /><br />Исследуйте огромный Нью-Йорк вселенной Marvel за счет еще более быстрого перемещения с помощью паутины и новых паутинных крыльев и мгновенно переключайтесь между Питером и Майлзом по ходу приключений в открытом мире, чтобы пережить различные истории, освоить новые эпические способности и заполучить высокотехнологичное снаряжение.<br /><br />Используйте симбиотические способности Питера и биосилы Майлза в сражениях с новыми и легендарными суперзлодеями Marvel, включая оригинальную версию симбиота Венома, безжалостного Крейвена-Охотника, неуловимого Ящера и других персонажей из пантеона злодеев Marvel.<br /><br />Почувствуйте истинную силу Человека-паука в своих руках!<br />- Тактильная отдача: ощутите всю мощь новых способностей Питера и Майлза на кончиках своих пальцев благодаря чуткой вибрации.<br />- Адаптивные триггеры: освойте акробатические приемы, выполняйте впечатляющие комбо и с легкостью летайте над улицами на паутине.<br /><br />Проживите жизнь супергероя!<br />- Tempest 3D AudioTech: точно определяйте источники звука, будь то выбрасывание паутины, биосилы, оживленное движение транспорта, шумные жители Нью-Йорка и опасные вражеские атаки.*<br />- Потрясающие визуальные эффекты: исследуйте новые живописные места, включая Бруклин и Куинс, Кони-Айленд, Фонд Эмили Мэй и не только.<br /><br />*Поддержка 3D-звука через встроенные динамики телевизора или стереонаушники (аналоговые или USB).</p>",PS5,Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2654815,Новинка,HELLDIVERS 2,4500,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP9000-PPSA06016_00-HELLDIVERS200000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Нет,Action,"«Предзаказ - Требует немедленной оплаты»<br/><br/><br/>Подробнее о предварительном заказе, в том числе и о его отмене, можно узнать из Условий обслуживания и Лицензионного соглашения Sony Entertainment Network. Автоматическая загрузка осуществляется, если на системе PS5™ включены настройки «Автоматический вход в систему» и «Автоматический вход в сеть».<br/><br/>Сделайте предварительный заказ и получите три комплекта брони:<br/>•	TR-7 «Посол бренда» — рекламная броня, изготовленная корпорацией SUMY как часть успешной рекламной кампании замороженного йогурта.<br/>•	TR-62 «Рыцарь» — создан, чтобы доставлять справедливость в темнейшие дыры галактики.<br/>•	TR-9 «Кавалерист демократии» — обладатели этой брони не ездят на железных конях, но сражаются верхом на верном жеребце Свободы.<br/><br/><br/>Издание включает в себя:<br/>- Полную версию игры HELLDIVERS™ 2 для PS5®.<br/><br/>Станьте Адским Десантником и защищайте свободу по всему космосу в динамичном, безумном и беспощадном шутере с видом от третьего лица.<br/><br/>ВАЖНОЕ СООБЩЕНИЕ — ВООРУЖЕННЫЕ СИЛЫ СУПЕР-ЗЕМЛИ<br/>Свобода. Мир. Демократия. <br/>Ваши права граждан Супер-Земли — основы нашей цивилизации, нашего бытия. <br/>Но война продолжается, и вновь всем грозит опасность.<br/>Вступите в величайшую армию в истории и сделайте галактику безопасной и свободной.<br/><br/>СТАНЬТЕ ЛЕГЕНДОЙ<br/>Вы попадете в отряды, куда могут войти до четырех Адских Десантников, и отправитесь на стратегически важные задания.<br/>Прикрывайте друг друга. Огня по своим не избежать, но для победы надо работать в команде.*<br/><br/>ВЫКЛАДКИ<br/>Обрушьте свободу с небес, незаметно подберитесь к врагу или бросьтесь в лобовую атаку.<br/>Решайте, как нести свободу с обширным арсеналом взрывчатки, спасительной брони и способных изменить ход битвы стратагем — настоящего сокровища Адского Десантника.<br/><br/>РЕКВИЗИЦИЯ <br/>Супер-Земля признает ваши усилия, позволяя реквизировать ценное имущество. Получите доступ к наградам, которые пригодятся вам, вашему отряду, вашему эсминцу и в целом войне.<br/><br/>УГРОЗЫ<br/>Все и везде хотят вас убить. У каждого врага свои непредсказуемые характеристики, тактика и поведение, но все они сражаются яростно и не боятся смерти.<br/><br/>ГАЛАКТИЧЕСКАЯ ВОЙНА<br/>Захватывайте планеты врага, отражайте вторжения и выполняйте задания.<br/>Победа или поражение определяются нашими совместными действиями.<br/>Встанем единым фронтом или погибнем.<br/><br/>ТАКТИЧЕСКИЕ СРАЖЕНИЯ<br/>- Адаптивные триггеры: ощутите отдачу, скорострельность и вес оружия.<br/>- Тактильная отдача: погрузитесь в живые инопланетные миры с эффектами окружения, снаряжения и погоды.<br/>- Встроенный микрофон: разработайте тактику вместе с товарищами.<br/>- Технология Tempest 3D на PS5®: точно определяйте расположение врагов и крики с любого направления.**",PS5,Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2607619,"",Cyberpunk 2077: Ultimate Edition (PS5),5150,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP4497-PPSA04027_00-EXPANSION1B00000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Да,Role Playing Games,"Набор «Cyberpunk 2077 и „Призрачная свобода“» доступен только для PlayStation 5. В Cyberpunk 2077 можно играть на PlayStation 4, но дополнение «Призрачная свобода» можно установить и запустить только на PlayStation 5.<br/><br/>Cyberpunk 2077 во всём его великолепии! Начните свой путь к славе в роли Ви, кибернетически усовершенствованного наёмника, и станьте легендой улиц, выполнив все заказы, которые найдутся в Найт-Сити.<br/><br/>Содержание набора:<br/><br/>Cyberpunk 2077 — приключенческая ролевая игра с открытым миром, действие которой разворачивается в самом опасном городе мрачного будущего. Вместе с давно умершим рокером Джонни Сильверхендом (в исполнении Киану Ривза) вы сможете стать легендой и раскрыть тайну уникального кибернетического импланта.<br/><br/>«Призрачная свобода» — полноценное сюжетное дополнение для Cyberpunk 2077 в жанре шпионского триллера. Освойте профессию секретного агента и вступите в политическую борьбу с далеко идущими последствиями. С помощью спящего агента Соломона Рида (Идрис Эльба) распутайте клубок предательств и сделайте всё возможное, чтобы выжить в захваченном боевиками Пёсьем городе.","PS5, PS4",Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2553735,"",Baldur's Gate 3,7520,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP3383-PPSA14002_00-0872837811678079/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Нет,Role Playing Games,"«Предзаказ - Требует немедленной оплаты»<br/><br/><br/>Подробнее о предварительном заказе, в том числе и о его отмене, можно узнать из Условий обслуживания и Лицензионного соглашения Sony Entertainment Network. Автоматическая загрузка осуществляется, если на системе PS5™ включены настройки «Автоматический вход в систему» и «Автоматический вход в сеть».<br/><br/><br/>Лишившись дома, друзей, даже будущего, вы превращаетесь в чудовище, но вместе с тьмой внутри вас растет и ваша сила. Вас ждет история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти. Втянутые против воли в войну между богами, дьяволами и зловещими потусторонними силами, вы и ваш отряд определите судьбу Забытых Королевств.<br/><br/>СОВЕРШЕННОЕ ВОПЛОЩЕНИЕ МИРА D&D<br/>Играйте за героя с детально продуманной историей или же выбирайте из множества рас и классов D&D. Сражайтесь, покоряйте сердца, обчищайте карманы и ищите приключений на свою голову в Забытых Королевствах и за их пределами. Играйте в одиночку или с друзьями по сети, в совместной игре до четырех игроков. И не забудьте тщательно подобрать себе спутников.<br/><br/>МГНОВЕННОЕ ПЕРЕКЛЮЧЕНИЕ МЕЖДУ ОДИНОЧНЫМ РЕЖИМОМ И СЕТЕВОЙ ИГРОЙ<br/>Слагайте ваши собственные истории – в одиночку или с друзьями. Объединяйте силы в бою или разделяйте отряд, чтобы заниматься каждый своими делами и заданиями. Вместе выработайте идеальный план кампании... или внесите в него элемент хаоса в самый неожиданный для товарищей момент. Совместная ли это игра для двух игроков в режиме разделения экрана на PlayStation 5 или сетевая игра для вплоть до четырех человек, Baldur's Gate 3 – приключение, которое затянет и одного, и целую компанию.<br/><br/>НИ ОДНО ПРИКЛЮЧЕНИЕ НЕ ПОВТОРЯЕТ ДРУГОЕ<br/>Забытые Королевства – огромный, детально проработанный и разнообразный мир, практически каждая пядь которого полна секретов: вертикальность здесь не роскошь, а неотъемлемая часть приключения. Крадитесь в тенях, купайтесь в водоемах, толкайте предметы, прыгайте и залезайте на все подряд везде – от глубин Подземья до сверкающих крыш Верхнего города. Как вы будете выживать и какой след оставите после себя в этом мире, решать только вам.<br/><br/>ЗРЕЛИЩНАЯ ИСТОРИЯ ЭПИЧЕСКОГО МАСШТАБА<br/>Построенная на новом движке Divinity 4.0, Baldur’s Gate 3 дает вам непревзойденную свободу действий: исследуйте, экспериментируйте, взаимодействуйте с миром, который по-настоящему реагирует на ваши действия и решения.","PS5, PS4",Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2421356,"",God of War Ragnarok,5580,8600,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP9000-PPSA08330_00-GOWRAGNAROK00000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Нет,Action,"Чтобы играть в эту игру на PS5, возможно, потребуется обновить системное программное обеспечение. Хотя эта игра поддерживается на PS5, некоторые функции, доступные в PS4, могут отсутствовать. Более подробная информация приведена на странице PlayStation.com/bc.<br>Выбравшись из тени богов, Кратос обязан приспособиться к жизни в незнакомых землях с их неожиданными опасностями, а еще стать хорошим отцом. Вместе со своим сыном Атреем он отправится в очень личное путешествие по суровым скандинавским пустошам, где им вдвоем предстоит сражаться с разнообразным злом.<br>• Отправляйтесь в мрачное царство стихий, где обитают грозные существа и беспощадные боги, сошедшие со страниц скандинавской мифологии.<br>• Побеждайте врагов в неистовых ближних схватках.<br>• Проникнитесь трогательной историей отца и сына.<br><br><br>Загрузка осуществляется в соответствии с Условиями обслуживания PlayStation Network, Условиями использования программ и любыми другими применимыми дополнительными документами. Если вы не согласны выполнять условия, не загружайте материалы. Дополнительная информация приведена в Условиях обслуживания.<br><br> Разовая лицензионная плата за право загрузки на несколько систем PS4. Вход в PlayStation Network не требуется при использовании на вашей основной системе PS4, но необходим при использовании на других системах PS4.<br><br>Перед использованием продукта ознакомьтесь с «Мерами предосторожности», важными для вашего здоровья.<br><br>Библиотечные программы ©Sony Interactive Entertainment Inc., эксклюзивно лицензированы Sony Interactive Entertainment Europe. Действуют Условия использования программ. Полный текст Условий использования см. на сайте ru.playstation.com/legal.","PS5, PS4",Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2295198,"",ELDEN RING PS4 and PS5,6750,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP0700-PPSA04609_00-ELDENRING0000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Нет,Role Playing Games,"Чтобы играть в эту игру на PS5, возможно, потребуется обновить системное программное обеспечение. Хотя эта игра поддерживается на PS5, некоторые функции, доступные в PS4, могут отсутствовать. Более подробная информация приведена на странице PlayStation.com/bc.<br>[Этот продукт дает вам право загрузить как цифровую версию игры для PS4™, так и цифровую версию игры для PS5™.]<br><br>НОВЫЙ РОЛЕВОЙ ЭКШЕН В ФЭНТЕЗИ-МИРЕ.<br>Восстань, погасшая душа! Междуземье ждет своего повелителя. Пусть благодать приведет тебя к Кольцу Элден.<br><br>• Огромный мир, полный чудес<br>Вас ждут необъятные и удивительные земли, где захватывающие дух открытые пространства бесшовно соседствуют с запутанными подземельями. Путешествуйте по необозримым просторам этого мира, преодолевайте опасности и испытания, экспериментируйте и прокладывайте свой собственный путь к успеху.<br><br>• Создайте собственного героя<br>Настраивайте внешность и облик персонажа. Свободно комбинируйте оружие, броню и магические умения. Отправляйтесь к вершинам по собственному уникальному пути – в стремлении наращивать мышцы, чтобы стать великим воином, или постигая многие таинства магических искусств.<br><br>• История, рожденная из мифа<br>Многослойный сюжет плавно раскроется перед вами множеством разрозненных осколков. Вас ждет грандиозная драма, в которой мысли и чаяния героев встречаются в Междуземье.<br><br>• Уникальный сетевой режим, приближающий вас к другим игрокам<br>Помимо многопользовательского режима, где вы напрямую подключаетесь к другим игрокам и путешествуете вместе, вас ждет уникальное сетевое решение с асинхронным элементом, которое позволит ощутить тень присутствия иных героев.<br><br>[Если у вас уже есть версия этой игры для PS4™, вы можете получить ее цифровую версию для PS5™ без каких-либо дополнительных затрат – вам не придется снова покупать этот продукт. Владельцы диска с игрой для PS4™ должны вставлять его в PS5™ каждый раз, когда они хотят загрузить или воспроизвести цифровую версию игры для PS5™. Владельцы дисков с играми для PS4™, купившие консоль PS5™ без дисковода, не смогут получить версию игры PS5™ без дополнительной платы.]<br><br><br>Автономная однопользовательская версия<br>Сетевая многопользовательская игра (2-4 игрока). Требуется оплаченная подписка на PlayStation Plus. Для использования сетевых функций требуется учетная запись. Сетевые функции предоставляются в соответствии с нашими условиями обслуживания (playstationnetwork.com/terms-of-service), нашей политикой конфиденциальности (playstationnetwork.com/privacy-policy) и политикой конфиденциальности издателя игры.<br><br><br>Загрузка осуществляется в соответствии с Условиями обслуживания PlayStation Network, Условиями использования программ и любыми другими применимыми дополнительными документами. Если вы не согласны выполнять условия, не загружайте материалы. Дополнительная информация приведена в Условиях обслуживания.<br><br>Вы можете загружать эти данные и играть в них на основной консоли PS5, связанной с вашей учетной записьью (с помощью настройки «Общий доступ к консоли и автономная игра») и на любых других консолях PS5, если войдете на них в ту же учетную запись.<br><br>Перед использованием продукта ознакомьтесь с «Мерами предосторожности», важными для вашего здоровья.<br><br>Библиотечные программы ©Sony Interactive Entertainment Inc., эксклюзивно лицензированы Sony Interactive Entertainment Europe. Действуют Условия использования программ. Полный текст Условий использования см. на сайте ru.playstation.com/legal.","PS5, PS4",Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2596620,Новинка,Alan Wake 2,4950,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP1464-PPSA02572_00-ALANWAKE20000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Нет,Horror,"Городок Брайт-Фоллс, укрывшийся среди гор и лесов на северо-западе тихоокеанского побережья, потрясла серия ритуальных убийств. Для расследования этих жутких преступлений в город прибывает Сага Андерсон — опытный агент ФБР, за плечами которой немало дел, считавшихся нераскрываемыми. Однако, когда Андерсон находит страницы из романа ужасов, который начинает оживать у неё на глазах, её дело быстро превращается в кошмар наяву.<br><br>Алан Уэйк — писатель заточённый в кошмаре за гранью нашего мира, пишет мрачный роман в попытке изменить реальность вокруг себя и сбежать из своей темницы. Спасаясь от ужаса преследующей его тьмы, Уэйк старается сохранить рассудок и победить дьявола на его поле.<br><br>Андерсон и Уэйк — два героя, идущих разными путями в двух раздельных реальностях, но в глубине души их связывает нечто, что они сами не могут понять: своими действиями и поступками они отражают друг друга... влияя на окружающие их миры.<br><br>Черпая мощь в романе ужасов, в Брайт-Фоллс проникают потусторонние силы тьмы, отравляя души местных жителей и угрожая близким Уэйка и Андерсон. Свет — их оружие и убежище в борьбе с тьмой. Смогут ли они вырваться за пределы ужаса, где есть лишь чудовища и жертвы, и стать героями, которыми они должны быть?<br><br>Раскройте смертельную тайну<br>То, что начиналось как обычное расследование в провинциальном городке, быстро превращается в оживший кошмар. Найдите источник потусторонней тьмы в этом психологическом хорроре с напряжённой атмосферой и неожиданными поворотами.<br><br>Играйте двумя персонажами<br>Пройдите сюжет за Алана Уэйка и Сагу Андерсон и следите за развитием событий с разных точек зрения. Переключайтесь между Андерсон, пытающейся завершить расследование, ставшее для неё делом жизни и смерти, и Уэйком, который стремится переписать реальность вокруг себя, чтобы сбежать из пучины Тёмной обители. <br> <br>Исследуйте два мира <br>Посетите два одновременно прекрасных и пугающих мира с яркими обитателями и смертельными угрозами. Насладитесь величественными пейзажами озера Колдрон и живописными видами городков Брайт-Фоллз и Уотери. И попытайтесь сбежать из разительно ко<br><br><br>Дистанционная игра которое позволяет пользователям подключаться к своей системе PlayStation®4 или PlayStation®5 через мобильное устройство, компьютер или другую систему PlayStation®4 или PlayStation®5 и играть в игры на ней.<br>Доступна автономная игра<br><br><br>Загрузка осуществляется в соответствии с Условиями обслуживания PlayStation Network, Условиями использования программ и любыми другими применимыми дополнительными документами. Если вы не согласны выполнять условия, не загружайте материалы. Дополнительная информация приведена в Условиях обслуживания.<br><br>Вы можете загружать эти данные и играть в них на основной консоли PS5, связанной с вашей учетной записьью (с помощью настройки «Общий доступ к консоли и автономная игра») и на любых других консолях PS5, если войдете на них в ту же учетную запись.<br><br>Перед использованием продукта ознакомьтесь с «Мерами предосторожности», важными для вашего здоровья.<br><br>Библиотечные программы ©Sony Interactive Entertainment Inc., эксклюзивно лицензированы Sony Interactive Entertainment Europe. Действуют Условия использования программ. Полный текст Условий использования см. на сайте ru.playstation.com/legal.",PS5,Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2703069,Новинка,Rise of the Ronin,8600,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP9000-PPSA04540_00-RONINFULLGAME001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Нет,Нет,"Action, Adventure",,PS5,Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
2608295,Новинка,Prince of Persia The Lost Crown,4140,,https://store.playstation.com/store/api/chihiro/00_09_000/container/TR/tr/99/EP0001-PPSA10528_00-MEMSTDED00000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=586&h=586,Да,Нет,Action,"PS3™ Essentials - The Best of PlayStation®3<br><br>Игра для PlayStation®3.<br><br>Перенесенный на родину мифов и легенд, принц Персии оказывается втянут в битву воплощений сил добра и зла, битву бога света Ормазда с его братом Ариманом, богом тьмы.<br><br>Он видит как уничтожается легендарное древо жизни, как весь мир погружается в вечную тьму и на землю опускается проклятье.<br><br>Принц объединяет свои усилия с таинственной волшебницей Эликой и сражается с силами бога тьмы и его приспешников. Вместе они отправятся на поиски средства, способного излечить землю и вернуть на нее мир.<br><br>1 игрок<br>Контроллер SIXAXIS<br><br>Загрузка осуществляется в соответствии с Условиями обслуживания PlayStation Network, Условиями использования программ и любыми другими применимыми дополнительными документами. Если вы не согласны выполнять условия, не загружайте материалы. Дополнительная информация приведена в Условиях обслуживания.<br> Единовременный платеж за использование загружаемых материалов на одной или двух совместимых домашних консолях.<br>Перед использованием продукта ознакомьтесь с «Мерами предосторожности», важными для вашего здоровья.<br>Библиотечные программы ©Sony Computer Entertainment Inc., эксклюзивно лицензированы Sony Computer Entertainment Europe. Действуют Условия использования программ. Полный текст Условий использования см. на сайте ru.playstation.com/legal.<br><br>© 2008 Ubisoft Entertainment. All Rights Reserved. Based on Prince of Persia® created by Jordan Mechner. Prince of Persia is a trademark of Jordan Mechner in the U.S. and/or other countries used under license by Ubisoft Entertainment.","PS5, PS4",Игры PlayStation,The Last of Us Part II Remastered - Купить в Open-PS.Store,Ищите как играть в The Last of Us Part II Remastered из России? Наш сервис помогает с покупкой игр для PS4 и PS5. Без VPN и блокировок
